"id_subj","group","n_trial","rt","acc","identity"
"CNTRL02","CTRL",145,0.8697,1,"non-matching TU"
"CNTRL02","CTRL",146,0.6852,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",147,0.787,1,"non-matching TU"
"CNTRL02","CTRL",148,1.0169,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",149,0.66,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",150,0.8162,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",151,0.9693,1,"non-matching TU"
"CNTRL02","CTRL",152,0.9702,1,"non-matching TU"
"CNTRL02","CTRL",153,1.1146,1,"matching TU"
"CNTRL02","CTRL",154,0.7825,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",155,0.6757,1,"matching TU"
"CNTRL02","CTRL",156,0.7677,1,"matching TU"
"CNTRL02","CTRL",157,0.6295,1,"matching TU"
"CNTRL02","CTRL",158,0.8068,1,"non-matching TU"
"CNTRL02","CTRL",159,0.9449,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",160,0.8508,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",161,0.7485,1,"non-matching TU"
"CNTRL02","CTRL",162,0.906,1,"non-matching TU"
"CNTRL02","CTRL",163,1.3448,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",164,0.7164,1,"matching TU"
"CNTRL02","CTRL",165,0.8051,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",166,0.7273,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",167,0.8775,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",168,1.0232,1,"non-matching TU"
"CNTRL02","CTRL",169,0.7529,1,"matching TU"
"CNTRL02","CTRL",170,0.8554,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",171,0.9227,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",172,0.8223,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",173,0.8875,1,"non-matching TU"
"CNTRL02","CTRL",174,0.9734,1,"non-matching TU"
"CNTRL02","CTRL",175,0.7426,1,"matching TU"
"CNTRL02","CTRL",176,0.7213,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",177,0.7863,1,"matching TU"
"CNTRL02","CTRL",178,0.8568,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",179,0.8658,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",180,0.7596,1,"matching TU"
"CNTRL02","CTRL",181,0.9439,0,"matching SCONOSCIUTO"
"CNTRL02","CTRL",182,1.0769,1,"non-matching TU"
"CNTRL02","CTRL",183,0.837,1,"non-matching SCONOSCIUTO"
